Date,Open,High,Low,Close
07/14/2023,"3.865%","3.947%","3.857%","3.945%"
07/13/2023,"3.975%","3.975%","3.849%","3.865%"
07/12/2023,"4.118%","4.118%","3.956%","3.975%"
07/11/2023,"4.135%","4.152%","4.085%","4.118%"
07/10/2023,"4.238%","4.254%","4.129%","4.135%"
07/07/2023,"4.207%","4.272%","4.159%","4.238%"
07/06/2023,"4.100%","4.283%","4.097%","4.207%"
07/05/2023,"4.030%","4.115%","3.994%","4.100%"
07/04/2023,"4.030%","4.030%","4.030%","4.030%"
07/03/2023,"4.006%","4.033%","3.945%","4.030%"
06/30/2023,"3.986%","4.042%","3.956%","4.006%"
06/29/2023,"3.847%","4.008%","3.831%","3.986%"
06/28/2023,"3.912%","3.915%","3.842%","3.847%"
06/27/2023,"3.856%","3.924%","3.826%","3.912%"
06/26/2023,"3.875%","3.875%","3.811%","3.856%"
06/23/2023,"3.926%","3.932%","3.814%","3.875%"
06/22/2023,"3.844%","3.934%","3.823%","3.926%"
06/21/2023,"3.840%","3.911%","3.827%","3.844%"
06/20/2023,"3.887%","3.937%","3.817%","3.840%"
06/16/2023,"3.821%","3.914%","3.816%","3.887%"
06/15/2023,"3.895%","3.966%","3.805%","3.821%"
06/14/2023,"3.926%","3.979%","3.867%","3.895%"
