Date,Open,High,Low,Close
07/14/2023,"5.463%","5.493%","5.450%","5.480%"
07/13/2023,"5.480%","5.485%","5.455%","5.463%"
07/12/2023,"5.513%","5.519%","5.470%","5.480%"
07/11/2023,"5.495%","5.524%","5.495%","5.513%"
07/10/2023,"5.480%","5.511%","5.455%","5.495%"
07/07/2023,"5.496%","5.501%","5.458%","5.480%"
07/06/2023,"5.483%","5.528%","5.455%","5.496%"
07/05/2023,"5.444%","5.499%","5.444%","5.483%"
07/04/2023,"5.444%","5.444%","5.444%","5.444%"
07/03/2023,"5.449%","5.462%","5.424%","5.444%"
06/30/2023,"5.465%","5.489%","5.441%","5.449%"
06/29/2023,"5.455%","5.502%","5.425%","5.465%"
06/28/2023,"5.413%","5.455%","5.411%","5.455%"
06/27/2023,"5.331%","5.421%","5.329%","5.413%"
06/26/2023,"5.418%","5.431%","5.331%","5.331%"
06/23/2023,"5.407%","5.421%","5.394%","5.418%"
06/22/2023,"5.392%","5.418%","5.362%","5.407%"
06/21/2023,"5.344%","5.424%","5.336%","5.392%"
06/20/2023,"5.325%","5.355%","5.310%","5.344%"
06/16/2023,"5.316%","5.351%","5.303%","5.325%"
06/15/2023,"5.338%","5.370%","5.316%","5.316%"
06/14/2023,"5.331%","5.354%","5.317%","5.338%"
