Date,Open,High,Low,Close
07/14/2023,"3.903%","3.932%","3.876%","3.929%"
07/13/2023,"3.952%","3.973%","3.890%","3.903%"
07/12/2023,"4.012%","4.021%","3.940%","3.952%"
07/11/2023,"4.032%","4.044%","3.992%","4.012%"
07/10/2023,"4.046%","4.088%","4.019%","4.032%"
07/07/2023,"4.004%","4.064%","3.981%","4.046%"
07/06/2023,"3.931%","4.027%","3.930%","4.004%"
07/05/2023,"3.869%","3.953%","3.852%","3.931%"
07/04/2023,"3.869%","3.869%","3.869%","3.869%"
07/03/2023,"3.863%","3.882%","3.816%","3.869%"
06/30/2023,"3.903%","3.936%","3.836%","3.863%"
06/29/2023,"3.810%","3.928%","3.808%","3.903%"
06/28/2023,"3.842%","3.850%","3.796%","3.810%"
06/27/2023,"3.817%","3.851%","3.783%","3.842%"
06/26/2023,"3.815%","3.828%","3.765%","3.817%"
06/23/2023,"3.874%","3.877%","3.781%","3.815%"
06/22/2023,"3.809%","3.882%","3.803%","3.874%"
06/21/2023,"3.814%","3.875%","3.799%","3.809%"
06/20/2023,"3.857%","3.913%","3.797%","3.814%"
06/16/2023,"3.839%","3.894%","3.828%","3.857%"
06/15/2023,"3.884%","3.921%","3.802%","3.839%"
06/14/2023,"3.928%","3.942%","3.870%","3.884%"
