Date,Open,High,Low,Close
07/14/2023,"4.649%","4.759%","4.620%","4.747%"
07/13/2023,"4.750%","4.751%","4.603%","4.649%"
07/12/2023,"4.877%","4.886%","4.721%","4.750%"
07/11/2023,"4.851%","4.906%","4.826%","4.877%"
07/10/2023,"4.957%","4.961%","4.847%","4.851%"
07/07/2023,"5.002%","5.033%","4.872%","4.957%"
07/06/2023,"4.955%","5.145%","4.939%","5.002%"
07/05/2023,"4.925%","4.959%","4.884%","4.955%"
07/04/2023,"4.925%","4.925%","4.925%","4.925%"
07/03/2023,"4.895%","4.967%","4.854%","4.925%"
06/30/2023,"4.866%","4.937%","4.841%","4.895%"
06/29/2023,"4.716%","4.903%","4.716%","4.866%"
06/28/2023,"4.887%","4.887%","4.704%","4.716%"
06/27/2023,"4.746%","4.887%","4.654%","4.887%"
06/26/2023,"4.754%","4.772%","4.695%","4.746%"
06/23/2023,"4.800%","4.815%","4.707%","4.754%"
06/22/2023,"4.713%","4.808%","4.688%","4.800%"
06/21/2023,"4.700%","4.760%","4.675%","4.713%"
06/20/2023,"4.720%","4.768%","4.661%","4.700%"
06/16/2023,"4.650%","4.788%","4.643%","4.720%"
06/15/2023,"4.684%","4.786%","4.625%","4.650%"
06/14/2023,"4.683%","4.799%","4.591%","4.684%"
