Date,Open,High,Low,Close
07/14/2023,"3.959%","4.051%","3.940%","4.047%"
07/13/2023,"4.075%","4.075%","3.933%","3.959%"
07/12/2023,"4.237%","4.237%","4.059%","4.075%"
07/11/2023,"4.243%","4.260%","4.193%","4.237%"
07/10/2023,"4.365%","4.374%","4.234%","4.243%"
07/07/2023,"4.349%","4.404%","4.294%","4.365%"
07/06/2023,"4.249%","4.465%","4.246%","4.349%"
07/05/2023,"4.198%","4.262%","4.147%","4.249%"
07/04/2023,"4.198%","4.198%","4.198%","4.198%"
07/03/2023,"4.152%","4.205%","4.100%","4.198%"
06/30/2023,"4.136%","4.200%","4.107%","4.152%"
06/29/2023,"3.969%","4.155%","3.969%","4.136%"
06/28/2023,"4.032%","4.044%","3.965%","3.969%"
06/27/2023,"3.972%","4.047%","3.943%","4.032%"
06/26/2023,"3.993%","3.993%","3.927%","3.972%"
06/23/2023,"4.047%","4.055%","3.929%","3.993%"
06/22/2023,"3.960%","4.055%","3.932%","4.047%"
06/21/2023,"3.948%","4.019%","3.935%","3.960%"
06/20/2023,"3.985%","4.038%","3.928%","3.948%"
06/16/2023,"3.917%","4.038%","3.908%","3.985%"
06/15/2023,"3.991%","4.074%","3.906%","3.917%"
06/14/2023,"3.998%","4.088%","3.934%","3.991%"
