Date,Open,High,Low,Close
07/14/2023,"3.768%","3.834%","3.759%","3.832%"
07/13/2023,"3.862%","3.868%","3.757%","3.768%"
07/12/2023,"3.974%","3.974%","3.840%","3.862%"
07/11/2023,"4.000%","4.009%","3.952%","3.974%"
07/10/2023,"4.068%","4.092%","3.991%","4.000%"
07/07/2023,"4.038%","4.094%","4.004%","4.068%"
07/06/2023,"3.938%","4.085%","3.931%","4.038%"
07/05/2023,"3.858%","3.948%","3.836%","3.938%"
07/04/2023,"3.858%","3.858%","3.858%","3.858%"
07/03/2023,"3.844%","3.875%","3.781%","3.858%"
06/30/2023,"3.846%","3.890%","3.797%","3.844%"
06/29/2023,"3.712%","3.870%","3.711%","3.846%"
06/28/2023,"3.767%","3.772%","3.705%","3.712%"
06/27/2023,"3.724%","3.779%","3.693%","3.767%"
06/26/2023,"3.742%","3.742%","3.680%","3.724%"
06/23/2023,"3.797%","3.801%","3.692%","3.742%"
06/22/2023,"3.725%","3.808%","3.719%","3.797%"
06/21/2023,"3.723%","3.795%","3.715%","3.725%"
06/20/2023,"3.769%","3.827%","3.708%","3.723%"
06/16/2023,"3.723%","3.796%","3.719%","3.769%"
06/15/2023,"3.792%","3.845%","3.702%","3.723%"
06/14/2023,"3.828%","3.842%","3.772%","3.792%"
