Date,Open,High,Low,Close
07/14/2023,"5.270%","5.301%","5.245%","5.253%"
07/13/2023,"5.255%","5.270%","5.224%","5.270%"
07/12/2023,"5.266%","5.268%","5.238%","5.255%"
07/11/2023,"5.270%","5.274%","5.238%","5.266%"
07/10/2023,"5.235%","5.272%","5.230%","5.270%"
07/07/2023,"5.216%","5.255%","5.212%","5.235%"
07/06/2023,"5.186%","5.216%","5.168%","5.216%"
07/05/2023,"5.187%","5.199%","5.168%","5.186%"
07/04/2023,"5.187%","5.187%","5.187%","5.187%"
07/03/2023,"5.137%","5.201%","5.134%","5.187%"
06/30/2023,"5.168%","5.194%","5.127%","5.137%"
06/29/2023,"5.102%","5.168%","5.055%","5.168%"
06/28/2023,"5.110%","5.110%","5.056%","5.102%"
06/27/2023,"5.111%","5.113%","5.059%","5.110%"
06/26/2023,"5.063%","5.116%","5.044%","5.111%"
06/23/2023,"5.086%","5.099%","5.058%","5.063%"
06/22/2023,"5.092%","5.096%","5.065%","5.086%"
06/21/2023,"5.108%","5.112%","5.074%","5.092%"
06/20/2023,"5.112%","5.138%","5.105%","5.108%"
06/16/2023,"5.050%","5.122%","5.037%","5.112%"
06/15/2023,"5.071%","5.106%","5.050%","5.050%"
06/14/2023,"5.123%","5.135%","5.071%","5.071%"
