Date,Open,High,Low,Close
07/14/2023,"4.268%","4.382%","4.234%","4.379%"
07/13/2023,"4.385%","4.388%","4.223%","4.268%"
07/12/2023,"4.562%","4.562%","4.355%","4.385%"
07/11/2023,"4.544%","4.577%","4.504%","4.562%"
07/10/2023,"4.680%","4.681%","4.539%","4.544%"
07/07/2023,"4.685%","4.724%","4.605%","4.680%"
07/06/2023,"4.621%","4.830%","4.607%","4.685%"
07/05/2023,"4.568%","4.626%","4.528%","4.621%"
07/04/2023,"4.568%","4.568%","4.568%","4.568%"
07/03/2023,"4.519%","4.591%","4.473%","4.568%"
06/30/2023,"4.495%","4.565%","4.467%","4.519%"
06/29/2023,"4.329%","4.518%","4.329%","4.495%"
06/28/2023,"4.391%","4.406%","4.326%","4.329%"
06/27/2023,"4.317%","4.391%","4.286%","4.391%"
06/26/2023,"4.328%","4.331%","4.269%","4.317%"
06/23/2023,"4.376%","4.394%","4.272%","4.328%"
06/22/2023,"4.291%","4.382%","4.257%","4.376%"
06/21/2023,"4.288%","4.353%","4.269%","4.291%"
06/20/2023,"4.325%","4.362%","4.254%","4.288%"
06/16/2023,"4.240%","4.373%","4.237%","4.325%"
06/15/2023,"4.304%","4.398%","4.229%","4.240%"
06/14/2023,"4.282%","4.392%","4.220%","4.304%"
